stage,model,mode,id,truth,prediction,path
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_013,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_014,CR,LP,DB - Copy/validation/Difetto1/RRT-102R_Img1_A80_S5_[15][4].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_015,CR,LP,DB - Copy/validation/Difetto1/RRT-102R_Img2_A80_S5_[13][6].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_016,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_020,CR,LP,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_LP_009,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[5][41].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_LP_018,LP,PO,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S2_[7][24].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_PO_019,PO,CR,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S3_[3][9].png
application,openai/gpt-4.1-mini,four-shot,application_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img4_A80_S2_[3][44].png
application,openai/gpt-4.1-mini,four-shot,application_CR_002,CR,LP,DB - Copy/training/Difetto1/RRT-40R_Img4_A80_S2_[9][17].png
application,openai/gpt-4.1-mini,four-shot,application_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-40R_Img4_A80_S2_[8][29].png
application,openai/gpt-4.1-mini,four-shot,application_CR_007,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img2_A80_S2_[4][15].png
application,openai/gpt-4.1-mini,four-shot,application_CR_008,CR,LP,DB - Copy/training/Difetto1/RRT-88R_Img1_A80_S5_[23][24].png
application,openai/gpt-4.1-mini,four-shot,application_CR_010,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img4_A80_S3_[8][27].png
application,openai/gpt-4.1-mini,four-shot,application_CR_014,CR,LP,DB - Copy/validation/Difetto1/RRT-94R_Img4_A80_S2_[4][48].png
application,openai/gpt-4.1-mini,four-shot,application_CR_015,CR,LP,DB - Copy/validation/Difetto1/RRT-94R_Img1_A80_S3_[5][28].png
application,openai/gpt-4.1-mini,four-shot,application_CR_018,CR,LP,DB - Copy/validation/Difetto1/RRT-88R_Img3_A80_S4_[30][42].png
application,openai/gpt-4.1-mini,four-shot,application_CR_020,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img3_A80_S2_[7][44].png
application,openai/gpt-4.1-mini,four-shot,application_CR_022,CR,LP,DB - Copy/training/Difetto1/RRT-88R_Img2_A80_S4_[24][36].png
application,openai/gpt-4.1-mini,four-shot,application_CR_024,CR,LP,DB - Copy/training/Difetto1/RRT-40R_Img2_A80_S2_[9][79].png
application,openai/gpt-4.1-mini,four-shot,application_CR_029,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img2_A80_S2_[8][39].png
application,openai/gpt-4.1-mini,four-shot,application_CR_030,CR,LP,DB - Copy/training/Difetto1/RRT-94R_Img2_A80_S2_[4][37].png
application,openai/gpt-4.1-mini,four-shot,application_CR_033,CR,LP,DB - Copy/training/Difetto1/RRT-88R_Img1_A80_S1_[11][36].png
application,openai/gpt-4.1-mini,four-shot,application_CR_034,CR,LP,DB - Copy/training/Difetto1/RRT-88R_Img3_A80_S2_[9][9].png
application,openai/gpt-4.1-mini,four-shot,application_CR_040,CR,LP,DB - Copy/testing/Difetto1/RRT-88R_Img2_A80_S1_[9][35].png
application,openai/gpt-4.1-mini,four-shot,application_LP_016,LP,CR,DB - Copy/testing/Difetto4/RRT-20R_Img1_A80_S1_[3][31].png
application,openai/gpt-4.1-mini,four-shot,application_LP_027,LP,CR,DB - Copy/testing/Difetto4/RRT-90R_Img4_A80_S3_[6][2].png
application,openai/gpt-4.1-mini,four-shot,application_LP_028,LP,,DB - Copy/training/Difetto4/RRT-20R_Img4_A80_S2_[5][88].png
application,openai/gpt-4.1-mini,four-shot,application_LP_033,LP,CR,DB - Copy/training/Difetto4/RRT-90R_Img3_A80_S1_[7][31].png
application,openai/gpt-4.1-mini,four-shot,application_LP_038,LP,CR,DB - Copy/training/Difetto4/RRT-90R_Img2_A80_S5_[3][8].png
application,openai/gpt-4.1-mini,four-shot,application_ND_020,ND,CR,DB - Copy/training/NoDifetto/RRT-15R_Img3_A80_S1_[6][53].png
application,openai/gpt-4.1-mini,four-shot,application_PO_001,PO,CR,DB - Copy/validation/Difetto2/RRT-39R_Img4_A80_S5_[4][23].png
application,openai/gpt-4.1-mini,four-shot,application_PO_005,PO,ND,DB - Copy/training/Difetto2/RRT-88R_Img3_A80_S3_[26][33].png
application,openai/gpt-4.1-mini,four-shot,application_PO_007,PO,ND,DB - Copy/training/Difetto2/RRT-88R_Img3_A80_S3_[25][33].png
application,openai/gpt-4.1-mini,four-shot,application_PO_010,PO,CR,DB - Copy/training/Difetto2/RRT-39R_Img4_A80_S4_[2][37].png
application,openai/gpt-4.1-mini,four-shot,application_PO_014,PO,LP,DB - Copy/testing/Difetto2/RRT-39R_Img1_A80_S5_[4][21].png
application,openai/gpt-4.1-mini,four-shot,application_PO_016,PO,CR,DB - Copy/validation/Difetto2/RRT-39R_Img3_A80_S3_[19][20].png
application,openai/gpt-4.1-mini,four-shot,application_PO_019,PO,LP,DB - Copy/validation/Difetto2/RRT-26R_Img4_A80_S3_[11][47].png
application,openai/gpt-4.1-mini,four-shot,application_PO_023,PO,CR,DB - Copy/validation/Difetto2/RRT-39R_Img4_A80_S4_[20][25].png
application,openai/gpt-4.1-mini,four-shot,application_PO_024,PO,CR,DB - Copy/training/Difetto2/RRT-88R_Img3_A80_S3_[28][37].png
application,openai/gpt-4.1-mini,four-shot,application_PO_030,PO,CR,DB - Copy/training/Difetto2/RRT-39R_Img1_A80_S4_[4][26].png
application,openai/gpt-4.1-mini,four-shot,application_PO_032,PO,CR,DB - Copy/training/Difetto2/RRT-39R_Img2_A80_S3_[16][45].png
application,openai/gpt-4.1-mini,four-shot,application_PO_033,PO,CR,DB - Copy/training/Difetto2/RRT-39R_Img4_A80_S5_[3][24].png
application,openai/gpt-4.1-mini,four-shot,application_PO_035,PO,CR,DB - Copy/validation/Difetto2/RRT-39R_Img2_A80_S3_[18][32].png
application,openai/gpt-4.1-mini,four-shot,application_PO_037,PO,CR,DB - Copy/validation/Difetto2/RRT-39R_Img2_A80_S4_[10][27].png
